WO #,Client,Status,Status_Category,State,Category,Order Type,Priority,DNE,Vendor NTE,Grand Total,Labor Amt,Material Amt,Vendor Invoice Total,Vendor_Code,Vendor,NTE_Category,Invoice_Date,Has_Vendor_Invoice,Revenue_Match,Cost_Match,Profit_Margin,Manager
100003,Client A,Invoiced,1_Completed_Paid,SC,Electrician,Outlet Broken,Normal - 30 days ,478.80,431.64,478.80,308.00,0.00,431.64,Vendor 001,Vendor 001,Under NTE,5/27/2025,YES,Match,Match,47.16,Manager 01
100024,Client A,Invoiced,1_Completed_Paid,TX,Splash Pads,Splash Pad Startup,Normal - 30 days ,573.73,405.00,573.73,475.00,0.00,405.00,Vendor 002,Vendor 002,Under NTE,5/28/2025,YES,Match,Match,168.73,Manager 02
100071,Client A,Invoiced,1_Completed_Paid,VA,Irrigation,Irrigation startup,Normal - 30 days ,435.00,350.00,435.00,385.00,0.00,350.00,Vendor 003,Vendor 003,Under NTE,5/19/2025,YES,Match,Match,85.00,Manager 02
100082,Client A,Invoiced,1_Completed_Paid,OH,Splash Pads,Splash Pad Startup,Normal - 30 days ,17039.68,14067.00,17039.68,11389.68,5650.00,14067.00,Vendor 004,Vendor 004,Over NTE,5/30/2025,YES,Match,Match,2972.68,Manager 02
100090,Client A,Complete No Charge,1_Completed_Paid,TX,Splash Pads,Splash Pad Startup,Normal - 30 days ,0.00,0.00,0.00,0.00,0.00,,,,Under NTE,,NO,Match,Match,,Manager 02
100105,Client A,Invoiced,1_Completed_Paid,TX,Splash Pads,Splash Pad Startup,Normal - 30 days ,730.69,600.00,730.69,525.00,65.00,600.00,Vendor 002,Vendor 002,Under NTE,5/19/2025,YES,Match,Match,130.69,Manager 02
100111,Client A,Invoiced,1_Completed_Paid,IL,Splash Pads,Splash Pad Startup,Normal - 30 days ,1230.50,1070.00,1230.50,1070.00,0.00,1070.00,Vendor 005,Vendor 005,Over NTE,6/10/2025,YES,Match,Match,160.50,Manager 02
100118,Client A,Invoiced,1_Completed_Paid,TX,Splash Pads,Splash Pad Maintenance,Normal - 30 days ,1042.91,802.86,1042.91,600.00,363.43,802.86,Vendor 006,Vendor 006,Over NTE,5/27/2025,YES,Match,Match,240.05,Manager 02
100120,Client A,Invoiced,1_Completed_Paid,TX,Splash Pads,Splash Pad Maintenance,Normal - 30 days ,1650.81,950.00,1650.81,1050.00,175.00,950.00,Vendor 007,Vendor 007,Over NTE,5/27/2025,YES,Match,Match,700.81,Manager 02
100129,Client A,Invoiced,1_Completed_Paid,IL,Electrician,Lighting General,Normal - 30 days ,495.00,411.00,495.00,374.50,22.50,411.00,Vendor 001,Vendor 001,Under NTE,5/12/2025,YES,Match,Match,84.00,Manager 03
100163,Client A,Complete No Charge,1_Completed_Paid,TX,HVAC,HVAC General,Urgent - 24-48 hours,0.00,0.00,0.00,0.00,0.00,,Vendor 008,Vendor 008,Under NTE,,NO,Match,Match,,Manager 04
100177,Client B,Invoiced,1_Completed_Paid,VA,Plumbing,Clogged Toilet,Urgent - 24-48 hours,2580.73,2030.00,2580.73,950.00,0.00,2030.00,Vendor 009,Vendor 009,Over NTE,5/2/2025,YES,Match,Match,550.73,Manager 01
100182,Client A,Invoiced,1_Completed_Paid,NJ,Splash Pads,Splash Pad Startup,Normal - 30 days ,1480.13,1287.07,1480.13,1080.00,44.89,1287.07,Vendor 010,Vendor 010,Over NTE,5/27/2025,YES,Match,Match,193.06,Manager 02
100195,Client A,Invoiced,1_Completed_Paid,IL,Fences and Gates,Replacement,Regular,11242.41,9400.00,11242.41,4174.50,5438.85,9400.00,Vendor 011,Vendor 011,Over NTE,5/27/2025,YES,Match,Match,1842.41,Manager 02
100197,Client A,Invoiced,1_Completed_Paid,TX,Splash Pads,Splash Pads General,Regular,1019.72,635.00,1019.72,375.00,567.00,635.00,Vendor 002,Vendor 002,Over NTE,5/28/2025,YES,Match,Match,384.72,Manager 02
